date,confirmed,deaths,recovered
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,1,0,0
2020-1-28,4,0,0
2020-1-29,4,0,0
2020-1-30,4,0,0
2020-1-31,5,0,0
2020-2-1,8,0,0
2020-2-2,10,0,0
2020-2-3,12,0,0
2020-2-4,12,0,0
2020-2-5,12,0,0
2020-2-6,12,0,0
2020-2-7,13,0,0
2020-2-8,13,0,0
2020-2-9,14,0,0
2020-2-10,14,0,0
2020-2-11,16,0,0
2020-2-12,16,0,0
2020-2-13,16,0,1
2020-2-14,16,0,1
2020-2-15,16,0,1
2020-2-16,16,0,1
2020-2-17,16,0,1
2020-2-18,16,0,12
2020-2-19,16,0,12
2020-2-20,16,0,12
2020-2-21,16,0,14
2020-2-22,16,0,14
2020-2-23,16,0,14
2020-2-24,16,0,14
2020-2-25,17,0,14
2020-2-26,27,0,15
2020-2-27,46,0,16
2020-2-28,48,0,16
2020-2-29,79,0,16
2020-3-1,130,0,16
2020-3-2,159,0,16
2020-3-3,196,0,16
2020-3-4,262,0,16
2020-3-5,482,0,16
2020-3-6,670,0,17
2020-3-7,799,0,18
2020-3-8,1040,0,18
2020-3-9,1176,2,18
2020-3-10,1457,2,18
2020-3-11,1908,3,25
2020-3-12,2078,3,25
2020-3-13,3675,7,46
2020-3-14,4585,9,46
2020-3-15,5795,11,46
2020-3-16,7272,17,67
2020-3-17,9257,24,67
2020-3-18,12327,28,105
2020-3-19,15320,44,113
2020-3-20,19848,67,180
2020-3-21,22213,84,233
2020-3-22,24873,94,266
2020-3-23,29056,123,266
2020-3-24,32986,157,3243
2020-3-25,37323,206,3547
2020-3-26,43938,267,5673
2020-3-27,50871,342,6658
2020-3-28,57695,433,8481
2020-3-29,62095,533,9211
2020-3-30,66885,645,13500
2020-3-31,71808,775,16100
2020-4-1,77872,920,18700
2020-4-2,84794,1107,22440
2020-4-3,91159,1275,24575
2020-4-4,96092,1444,26400
2020-4-5,100123,1584,28700
2020-4-6,103374,1810,28700
2020-4-7,107663,2016,36081
2020-4-8,113296,2349,46300
2020-4-9,118181,2607,52407
2020-4-10,122171,2767,53913
2020-4-11,124908,2736,57400
2020-4-12,127854,3022,60300
2020-4-13,130072,3194,64300
2020-4-14,131359,3294,68200
2020-4-15,134753,3804,72600
2020-4-16,137698,4052,77000
2020-4-17,141397,4352,83114
2020-4-18,143342,4459,85400
2020-4-19,145184,4586,88000
2020-4-20,147065,4862,91500
2020-4-21,148291,5033,95200
2020-4-22,150648,5279,99400
2020-4-23,153129,5575,103300
2020-4-24,154999,5760,109800
2020-4-25,156513,5877,109800
2020-4-26,157770,5976,112000
2020-4-27,158758,6126,114500
2020-4-28,159912,6314,117400
2020-4-29,161539,6467,120400
2020-4-30,163009,6623,123500
2020-5-1,164077,6736,126900
2020-5-2,164967,6812,129000
2020-5-3,165664,6866,130600
2020-5-4,166152,6993,132700
2020-5-5,167007,6993,135100
2020-5-6,168162,7275,139900
2020-5-7,169430,7392,141700
2020-5-8,170588,7510,141700
2020-5-9,171324,7549,143300
2020-5-10,171879,7569,144400
2020-5-11,172576,7661,145617
2020-5-12,173171,7738,147200
2020-5-13,174098,7861,148700
2020-5-14,174478,7884,150300
2020-5-15,175233,7897,151597
2020-5-16,175752,7938,152600
2020-5-17,176369,7962,154011
2020-5-18,176551,8003,155041
2020-5-19,177778,8081,155681
2020-5-20,178473,8144,156966
2020-5-21,179021,8203,158087
2020-5-22,179710,8228,159064
2020-5-23,179986,8261,159716
2020-5-24,180328,8283,160281
2020-5-25,180600,8309,161199
2020-5-26,181200,8372,161967
2020-5-27,181524,8428,162820
2020-5-28,182196,8470,163360
2020-5-29,182922,8504,164245
2020-5-30,183189,8530,164908
2020-5-31,183410,8540,165352
2020-6-1,183594,8555,165632
2020-6-2,183879,8563,166609
2020-6-3,184121,8602,167453
2020-6-4,184472,8635,167909
2020-6-5,184924,8658,168480
2020-6-6,185450,8673,168958
2020-6-7,185750,8685,169224
2020-6-8,186109,8695,169556
2020-6-9,186506,8736,170129
2020-6-10,186522,8752,170630
2020-6-11,186691,8772,170961
2020-6-12,187226,8783,171535
2020-6-13,187267,8793,171970
2020-6-14,187518,8801,172089
2020-6-15,187682,8807,172692
2020-6-16,188252,8820,172842
2020-6-17,188604,8851,173599
2020-6-18,189817,8875,173847
2020-6-19,190299,8887,173972
2020-6-20,190670,8895,174609
2020-6-21,191272,8895,174740
2020-6-22,191768,8899,175143
2020-6-23,192480,8914,175825
2020-6-24,192871,8928,176422
2020-6-25,193371,8940,176764
2020-6-26,194036,8965,177149
2020-6-27,194458,8968,177518
2020-6-28,194693,8968,177657
2020-6-29,195042,8976,177770
2020-6-30,195418,8990,178100
2020-7-1,195893,8995,179100
2020-7-2,196370,9006,179800
2020-7-3,196780,9010,180300
2020-7-4,197198,9020,181000
2020-7-5,197523,9023,181719
2020-7-6,198064,9022,182160
2020-7-7,198343,9032,182661
2020-7-8,198699,9046,183153
2020-7-9,199001,9057,183728
2020-7-10,199332,9063,184028
2020-7-11,199709,9070,184266
2020-7-12,199919,9071,184414
2020-7-13,200180,9074,185100
2020-7-14,200456,9078,185100
2020-7-15,200890,9080,186000
2020-7-16,201450,9087,186400
2020-7-17,202045,9088,186900
2020-7-18,202426,9091,187200
2020-7-19,202735,9092,187400
2020-7-20,203325,9094,188070
2020-7-21,203717,9099,188221
2020-7-22,204276,9102,188628
2020-7-23,204881,9110,189140
2020-7-24,205623,9120,189696
2020-7-25,206278,9124,189919
2020-7-26,206667,9124,190055
2020-7-27,207112,9125,190314
2020-7-28,207707,9131,190711
2020-7-29,208546,9135,191279
2020-7-30,209535,9144,191551
2020-7-31,210399,9147,191992
2020-8-1,211005,9154,192636
2020-8-2,211220,9154,192908
2020-8-3,212111,9154,193594
2020-8-4,212828,9163,194173
2020-8-5,214113,9179,194568
2020-8-6,215039,9181,195281
2020-8-7,216196,9195,195935
2020-8-8,216903,9201,196550
2020-8-9,217288,9202,196783
2020-8-10,218508,9203,197382
2020-8-11,219540,9208,198347
2020-8-12,220859,9213,198991
2020-8-13,222281,9217,199654
2020-8-14,223791,9230,200440
2020-8-15,224488,9235,200756
2020-8-16,225007,9235,201187
2020-8-17,226700,9236,202249
2020-8-18,228120,9241,203677
2020-8-19,229706,9249,204454
2020-8-20,231292,9263,205359
2020-8-21,233029,9266,206656
2020-8-22,233861,9272,207606
2020-8-23,234494,9275,207985
2020-8-24,236122,9276,208653
2020-8-25,237583,9281,210333
2020-8-26,239010,9285,211691
2020-8-27,240571,9290,212909
2020-8-28,242126,9290,214186
2020-8-29,242835,9299,214790
2020-8-30,243305,9300,215283
2020-8-31,244802,9303,216795
2020-9-1,246015,9307,218403
2020-9-2,247411,9322,219904
2020-9-3,248840,9322,221525
2020-9-4,250283,9327,222802
2020-9-5,251058,9329,223570
2020-9-6,251728,9330,224215
2020-9-7,253626,9331,225704
2020-9-8,254957,9336,227379
2020-9-9,256433,9342,228784
2020-9-10,258149,9345,230283
2020-9-11,259735,9348,231349
2020-9-12,260817,9352,231953
2020-9-13,261737,9354,232541
2020-9-14,263222,9356,234017
2020-9-15,265014,9367,235112
2020-9-16,266869,9373,236623
2020-9-17,269048,9376,238437
2020-9-18,271247,9386,239654
2020-9-19,272932,9388,240510
2020-9-20,273965,9390,241192
2020-9-21,275560,9390,242656
2020-9-22,277412,9405,244693
2020-9-23,279025,9423,245706
2020-9-24,281346,9436,247766
2020-9-25,283712,9451,249164
2020-9-26,285026,9459,250104
2020-9-27,286339,9464,250866
2020-9-28,288631,9468,252693
2020-9-29,290471,9483,255212
2020-9-30,292913,9495,256861
2020-10-1,295539,9509,258220
2020-10-2,298374,9518,259722
2020-10-3,300027,9531,260916
2020-10-4,301573,9533,262002
2020-10-5,304673,9554,265624
2020-10-6,307127,9566,267747
2020-10-7,311137,9582,269722
2020-10-8,315941,9594,271960
2020-10-9,320495,9599,273718
2020-10-10,323463,9620,274934
2020-10-11,326309,9626,276983
2020-10-12,332850,9640,278391
2020-10-13,337314,9682,280533
2020-10-14,344487,9716,283656
2020-10-15,352107,9739,286137
2020-10-16,359802,9773,289027
2020-10-17,364664,9785,291129
2020-10-18,368671,9798,293447
2020-10-19,377068,9842,296672
2020-10-20,385591,9882,299743
2020-10-21,397922,9911,304173
2020-10-22,403874,9960,308779
2020-10-23,417350,9978,312347
2020-10-24,427808,10035,316124
2020-10-25,437698,10062,320004
2020-10-26,450258,10091,325052
2020-10-27,463419,10121,327697
2020-10-28,479621,10218,336764
2020-10-29,498354,10305,340436
2020-10-30,517736,10391,351921
2020-10-31,531790,10483,356410
2020-11-1,544346,10513,363545
2020-11-2,569598,10669,372499
2020-11-3,577131,10717,373391
2020-11-4,608611,10949,384012
2020-11-5,631172,11110,394616
2020-11-6,653992,11240,405809
2020-11-7,668114,11306,413484
2020-11-8,682624,11372,421151
2020-11-9,689146,11408,443621
2020-11-10,715693,11781,446402
2020-11-11,738094,11994,460504
2020-11-12,762832,12216,474208
2020-11-13,785093,12404,487913
2020-11-14,799733,12511,498996
2020-11-15,802946,12573,505714
2020-11-16,817526,12833,522313
2020-11-17,843757,13138,537347
2020-11-18,867484,13390,554272
2020-11-19,891525,13662,570961
2020-11-20,914118,13918,587780
2020-11-21,927990,14061,600991
2020-11-22,932367,14159,611627
2020-11-23,946822,14460,630375
2020-11-24,963192,14832,649070
2020-11-25,995879,15210,666373
2020-11-26,1017830,15640,685537
2020-11-27,1038649,16011,705213
2020-11-28,1052494,16181,718604
2020-11-29,1055691,16306,730797
2020-11-30,1069912,16694,749219
2020-12-1,1094678,17177,769380
2020-12-2,1117953,17659,789564
2020-12-3,1141544,18097,811091
2020-12-4,1157514,18577,831935
2020-12-5,1183640,18839,852580
2020-12-6,1194550,18989,868285
2020-12-7,1200006,19434,888701
2020-12-8,1229269,20002,909058
2020-12-9,1254358,20460,929272
2020-12-10,1287092,21064,949913
2020-12-11,1314309,21567,966238
2020-12-12,1336101,21900,975931
2020-12-13,1350810,22106,990707
2020-12-14,1357261,22634,1012077
2020-12-15,1391086,23544,1031721
2020-12-16,1423830,24273,1056477
2020-12-17,1454009,25027,1078944
2020-12-18,1486839,25754,1095982
2020-12-19,1508518,26171,1107115
2020-12-20,1514962,26400,1123725
2020-12-21,1534218,27110,1147943
2020-12-22,1570371,28096,1171444
2020-12-23,1604129,28909,1197472
2020-12-24,1630596,29330,1220277
2020-12-25,1632736,29580,1235968
2020-12-26,1646240,29946,1253285
2020-12-27,1658639,30297,1272032
2020-12-28,1672643,31145,1294932
2020-12-29,1692109,32267,1319757
2020-12-30,1741153,33230,1345952
2020-12-31,1760520,33791,1350708
2021-1-1,1762637,34145,1388744
2021-1-2,1773540,34480,1400810
2021-1-3,1783896,34791,1422151
2021-1-4,1796216,35748,1445442
2021-1-5,1814565,36757,1472311
2021-1-6,1841228,37835,1496182
2021-1-7,1886561,38987,1517019
2021-1-8,1905638,40022,1533143
2021-1-9,1928462,40597,1546206
2021-1-10,1929410,40936,1566907
2021-1-11,1941116,41799,1590171
2021-1-12,1968326,42889,1616761
2021-1-13,1993892,44096,1640682
2021-1-14,2015235,45207,1661394
2021-1-15,2023828,45705,1664176
2021-1-16,2038645,46464,1680479
2021-1-17,2050129,46901,1709540
2021-1-18,2059382,47263,1713196
2021-1-19,2071615,48997,1757713
2021-1-20,2100618,50010,1778319
2021-1-21,2108895,50876,1797648
2021-1-22,2125261,51713,1813894
2021-1-23,2137691,51873,1826161
2021-1-24,2147769,52296,1840970
2021-1-25,2154656,53127,1859936
2021-1-26,2164043,53619,1881933
2021-1-27,2179679,54498,1881933
2021-1-28,2194562,55883,1915501
2021-1-29,2207393,56286,1917964
2021-1-30,2224911,57105,1938929
2021-1-31,2225659,57163,1940046
2021-2-1,2232327,58059,1967132
2021-2-2,2240017,58992,1986214
2021-2-3,2252504,59776,2003831
2021-2-4,2265536,60634,2020303
2021-2-5,2276371,61324,2033168
2021-2-6,2285003,61551,2041988
2021-2-7,2291673,61708,2052656
2021-2-8,2296323,62191,2054340
2021-2-9,2302051,63006,2081966
2021-2-10,2311297,63672,2096775
2021-2-11,2321225,64224,2109508
2021-2-12,2330422,64771,2120342
2021-2-13,2336906,64990,2128002
2021-2-14,2341744,65107,2136933
2021-2-15,2346876,65288,2148269
2021-2-16,2352766,65829,2161100
2021-2-17,2362364,66732,2172312
2021-2-18,2372209,67245,2182370
2021-2-19,2381259,67741,2191208
2021-2-20,2388421,67883,2197065
2021-2-21,2394515,67946,2204110
2021-2-22,2399499,68363,2212439
2021-2-23,2405263,68785,2221972
2021-2-24,2416037,69170,2231073
2021-2-25,2427069,69343,2232050
2021-2-26,2436506,69939,2247173
2021-2-27,2444177,70092,2252970
2021-2-28,2450295,70152,2259548
2021-3-1,2455569,70514,2260719
2021-3-2,2462061,70926,2277626
2021-3-3,2472913,71285,2286728
2021-3-4,2484306,71554,2295405
2021-3-5,2493887,71852,2302899
2021-3-6,2502151,71951,2308094
2021-3-7,2508655,71984,2314400
2021-3-8,2513784,72236,2322734
2021-3-9,2520618,72534,2331890
2021-3-10,2541781,72858,2340473
2021-3-11,2546526,73120,2349384
2021-3-12,2559296,73348,2356590
2021-3-13,2569864,73369,2357374
2021-3-14,2578842,73463,2368995
2021-3-15,2585385,73701,2377584
2021-3-16,2603064,73952,2387232
2021-3-17,2610769,74043,2387743
2021-3-18,2639258,74402,2405600
2021-3-19,2654734,74608,2413584
2021-3-20,2669233,74706,2419292
2021-3-21,2670001,74756,2426700
2021-3-22,2678262,75009,2437183
2021-3-23,2699231,75255,2448828
2021-3-24,2722988,75484,2460019
2021-3-25,2744608,75669,2471558
2021-3-26,2765297,75828,2481908
2021-3-27,2782925,75915,2489198
2021-3-28,2784652,75959,2499010
2021-3-29,2794949,76139,2511417
2021-3-30,2818630,76389,2525580
2021-3-31,2843644,76589,2539660
2021-4-1,2866323,76823,2552020
2021-4-2,2882356,76940,2566530
2021-4-3,2886029,77010,2575740
2021-4-4,2896329,77060,2585850
2021-4-5,2902309,77136,2587580
2021-4-6,2909902,77245,2604890
2021-4-7,2940279,77755,2638320
2021-4-8,2966789,78049,2640300
2021-4-9,2990724,78295,2654930
2021-4-10,3009452,78402,2668910
2021-4-11,3012158,78500,2692230
2021-4-12,3024604,78796,2708320
2021-4-13,3054025,79137,2726910
2021-4-14,3085142,79427,2744940
2021-4-15,3110252,79672,2747460
2021-4-16,3134108,79894,2763260
2021-4-17,3154305,79971,2784540
2021-4-18,3155522,80052,2795080
2021-4-19,3167137,80353,2811890
2021-4-20,3198534,80680,2831440
2021-4-21,3222888,80938,2852890
2021-4-22,3254609,81203,2856510
2021-4-23,3276871,81492,2876690
2021-4-24,3291293,81610,2902900
2021-4-25,3306692,81671,2917730
2021-4-26,3312653,82009,2939900
2021-4-27,3338564,82325,2960900
2021-4-28,3366827,82588,2966590
2021-4-29,3391039,82865,2987910
2021-4-30,3405365,83097,3008640
