date,Czechia,Germany,Austria,Switzerland
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,,,,
2020-03-27,,,,
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,,,
2020-03-31,,,,
2020-04-01,,,,
2020-04-02,,,,
2020-04-03,,,,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,,,
2020-04-07,,,,
2020-04-08,,,,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,,,
2020-04-14,,,,
2020-04-15,,,,
2020-04-16,,,,
2020-04-17,,,,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,,,
2020-04-21,,,,
2020-04-22,,,,
2020-04-23,,,,
2020-04-24,,,,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,,,
2020-04-28,,,,
2020-04-29,,,,
2020-04-30,,,,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,,,
2020-05-05,,,,
2020-05-06,,,,
2020-05-07,,,,
2020-05-08,,,,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,,,
2020-05-12,,,,
2020-05-13,,,,
2020-05-14,,,,
2020-05-15,,,,
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,,,
2020-05-19,,,,
2020-05-20,,,,
2020-05-21,,,,
2020-05-22,,,,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,,,
2020-05-27,,,,
2020-05-28,,,,
2020-05-29,,,,
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,,,
2020-06-03,,,,
2020-06-04,,,,
2020-06-05,,,,
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,,,
2020-06-09,,,,
2020-06-10,,,,
2020-06-11,,,,
2020-06-12,,,,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,,,
2020-06-16,,,,
2020-06-17,,,,
2020-06-18,,,,
2020-06-19,,,,
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,,,
2020-06-23,,,,
2020-06-24,,,,
2020-06-25,,,,
2020-06-26,,,,
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,,,
2020-06-30,,,,
2020-07-01,,,,
2020-07-02,,,,
2020-07-03,,,,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,,,
2020-07-07,,,,
2020-07-08,,,,
2020-07-09,,,,
2020-07-10,,,,
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,,,
2020-07-14,,,,
2020-07-15,,,,
2020-07-16,,,,
2020-07-17,,,,
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,,,
2020-07-21,,,,
2020-07-22,,,,
2020-07-23,,,,
2020-07-24,,,,
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,,,
2020-07-28,,,,
2020-07-29,,,,
2020-07-30,,,,
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,,,
2020-08-04,,,,
2020-08-05,,,,
2020-08-06,,,,
2020-08-07,,,,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,,,
2020-08-11,,,,
2020-08-12,,,,
2020-08-13,,,,
2020-08-14,,,,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,,,
2020-08-18,,,,
2020-08-19,,,,
2020-08-20,,,,
2020-08-21,,,,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,,,
2020-08-25,,,,
2020-08-26,,,,
2020-08-27,,,,
2020-08-28,,,,
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,,,
2020-09-01,,,,
2020-09-02,,,,
2020-09-03,,,,
2020-09-04,,,,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,,,
2020-09-08,,,,
2020-09-09,,,,
2020-09-10,,,,
2020-09-11,,,,
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,,,
2020-09-15,,,,
2020-09-16,,,,
2020-09-17,,,,
2020-09-18,,,,
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,,,
2020-09-22,,,,
2020-09-23,,,,
2020-09-24,,,,
2020-09-25,,,,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,214.0,221.0,144.0,
2020-12-29,268.0,413.0,162.0,
2020-12-30,287.0,525.0,158.0,
2020-12-31,246.0,543.0,119.0,
2021-01-01,201.0,479.0,95.0,
2021-01-02,188.0,503.0,79.0,
2021-01-03,173.0,472.0,68.0,
2021-01-04,190.0,523.0,49.0,
2021-01-05,204.0,528.0,52.0,
2021-01-06,235.0,528.0,44.0,
2021-01-07,324.0,538.0,94.0,
2021-01-08,453.0,613.0,300.0,
2021-01-09,463.0,628.0,370.0,
2021-01-10,474.0,648.0,405.0,
2021-01-11,557.0,681.0,493.0,
2021-01-12,675.0,731.0,700.0,
2021-01-13,777.0,814.0,932.0,
2021-01-14,873.0,861.0,1148.0,
2021-01-15,927.0,909.0,1233.0,
2021-01-16,945.0,903.0,1270.0,
2021-01-17,965.0,926.0,1325.0,
2021-01-18,1024.0,952.0,1416.0,
2021-01-19,1049.0,1012.0,1593.0,
2021-01-20,1085.0,1046.0,1720.0,
2021-01-21,1113.0,1088.0,1767.0,
2021-01-22,1137.0,1109.0,1662.0,
2021-01-23,1148.0,1156.0,1604.0,
2021-01-24,1146.0,1157.0,1534.0,
2021-01-25,1123.0,1172.0,1377.0,1443.0
2021-01-26,1113.0,1140.0,1103.0,1612.0
2021-01-27,1077.0,1104.0,858.0,2425.0
2021-01-28,1022.0,1076.0,701.0,2344.0
2021-01-29,998.0,1085.0,754.0,2261.0
2021-01-30,967.0,1090.0,763.0,1955.0
2021-01-31,950.0,1103.0,765.0,1953.0
2021-02-01,940.0,1152.0,816.0,1936.0
2021-02-02,938.0,1208.0,953.0,1899.0
2021-02-03,963.0,1291.0,1110.0,1831.0
2021-02-04,1025.0,1360.0,1278.0,1783.0
2021-02-05,1053.0,1421.0,1376.0,1752.0
2021-02-06,1071.0,1441.0,1461.0,1734.0
2021-02-07,1090.0,1437.0,1518.0,1624.0
2021-02-08,1138.0,1419.0,1597.0,1672.0
2021-02-09,1173.0,1422.0,1628.0,1765.0
2021-02-10,1217.0,1409.0,1688.0,1874.0
2021-02-11,1279.0,1425.0,1752.0,1988.0
2021-02-12,1349.0,1447.0,1838.0,2103.0
2021-02-13,1367.0,1460.0,1861.0,2154.0
2021-02-14,1354.0,1479.0,1813.0,2131.0
2021-02-15,1358.0,1508.0,1773.0,2147.0
2021-02-16,1367.0,1512.0,1699.0,2154.0
2021-02-17,1358.0,1508.0,1664.0,2129.0
2021-02-18,1329.0,1510.0,1591.0,2110.0
2021-02-19,1297.0,1505.0,1507.0,2039.0
2021-02-20,1278.0,1515.0,1547.0,2011.0
2021-02-21,1274.0,1550.0,1610.0,2178.0
2021-02-22,1279.0,1608.0,1607.0,2163.0
2021-02-23,1308.0,1660.0,1610.0,2143.0
2021-02-24,1332.0,1705.0,1614.0,2239.0
2021-02-25,1374.0,1785.0,1615.0,2209.0
2021-02-26,1406.0,1879.0,1735.0,2204.0
2021-02-27,1411.0,1939.0,1923.0,2201.0
2021-02-28,1422.0,1977.0,1988.0,2197.0
2021-03-01,1511.0,2037.0,2016.0,2230.0
2021-03-02,1652.0,2127.0,2182.0,2229.0
2021-03-03,1853.0,2243.0,2310.0,2270.0
2021-03-04,2041.0,2334.0,2425.0,2328.0
2021-03-05,2207.0,2436.0,2550.0,2366.0
2021-03-06,2332.0,2528.0,2600.0,2354.0
2021-03-07,2456.0,2600.0,2628.0,2387.0
2021-03-08,2611.0,2674.0,2673.0,2395.0
2021-03-09,2770.0,2726.0,2719.0,2418.0
2021-03-10,2943.0,2794.0,2734.0,2457.0
2021-03-11,3146.0,2859.0,3009.0,2430.0
2021-03-12,3318.0,2953.0,3349.0,2420.0
2021-03-13,3391.0,3028.0,3731.0,2423.0
2021-03-14,3404.0,3063.0,4014.0,2398.0
2021-03-15,3438.0,3079.0,4163.0,2390.0
2021-03-16,3527.0,2957.0,4165.0,2414.0
2021-03-17,3525.0,2823.0,4252.0,2323.0
2021-03-18,3487.0,2675.0,4095.0,2387.0
2021-03-19,3498.0,2539.0,4024.0,2426.0
2021-03-20,3481.0,2494.0,3945.0,2426.0
2021-03-21,3423.0,2485.0,3720.0,2435.0
2021-03-22,3418.0,2516.0,3638.0,2470.0
2021-03-23,3291.0,2718.0,3750.0,2505.0
2021-03-24,3218.0,2938.0,3831.0,2675.0
2021-03-25,3138.0,3181.0,4006.0,2692.0
2021-03-26,3062.0,3404.0,3955.0,2741.0
2021-03-27,3011.0,3518.0,3863.0,2770.0
2021-03-28,3021.0,3570.0,3847.0,2951.0
2021-03-29,3061.0,3643.0,4016.0,3052.0
2021-03-30,3154.0,3695.0,4105.0,3140.0
2021-03-31,3255.0,3708.0,4038.0,3211.0
2021-04-01,3433.0,3684.0,3975.0,3266.0
2021-04-02,3133.0,3437.0,3866.0,2979.0
2021-04-03,3149.0,3344.0,3555.0,2944.0
2021-04-04,3170.0,3342.0,3483.0,2805.0
2021-04-05,2770.0,3242.0,3262.0,2464.0
2021-04-06,2751.0,3327.0,3214.0,2442.0
2021-04-07,2689.0,3900.0,3535.0,2444.0
2021-04-08,2842.0,4597.0,4016.0,2525.0
2021-04-09,3494.0,5268.0,4558.0,2955.0
2021-04-10,3709.0,5500.0,5246.0,3045.0
2021-04-11,3821.0,5610.0,5497.0,3323.0
2021-04-12,4524.0,5893.0,5847.0,3822.0
2021-04-13,4740.0,6221.0,5951.0,4029.0
2021-04-14,5011.0,6385.0,6129.0,4362.0
2021-04-15,5065.0,6294.0,6149.0,4473.0
2021-04-16,5083.0,6244.0,6019.0,4585.0
2021-04-17,5016.0,6233.0,5887.0,4637.0
2021-04-18,4992.0,6242.0,5780.0,4638.0
2021-04-19,4946.0,6214.0,5727.0,4725.0
2021-04-20,4896.0,6187.0,5729.0,4856.0
2021-04-21,4839.0,6084.0,5661.0,5168.0
2021-04-22,4819.0,6007.0,5610.0,5363.0
2021-04-23,4705.0,5934.0,5574.0,5511.0
2021-04-24,4669.0,5945.0,5306.0,5639.0
2021-04-25,4677.0,5974.0,5441.0,5842.0
2021-04-26,4639.0,6023.0,5428.0,5904.0
2021-04-27,4666.0,6412.0,5472.0,6018.0
2021-04-28,4791.0,7106.0,5391.0,6156.0
2021-04-29,4894.0,7627.0,5472.0,6136.0
2021-04-30,5010.0,8051.0,5660.0,6098.0
2021-05-01,5006.0,7993.0,5688.0,6151.0
2021-05-02,5038.0,7959.0,5513.0,6118.0
2021-05-03,5231.0,7993.0,5485.0,6130.0
2021-05-04,5400.0,8086.0,5689.0,6136.0
2021-05-05,5518.0,8105.0,5994.0,6188.0
2021-05-06,5638.0,8165.0,6318.0,6376.0
2021-05-07,5830.0,8284.0,6735.0,6637.0
2021-05-08,5942.0,8426.0,6890.0,6754.0
2021-05-09,5999.0,8460.0,6920.0,7061.0
2021-05-10,6087.0,8679.0,7129.0,
2021-05-11,6207.0,9062.0,7162.0,
2021-05-12,6283.0,9441.0,7477.0,
2021-05-13,6255.0,8475.0,6450.0,
